;timestamp;processo;pid;cpu;ram
133;2025-10-14 14:12:27;kerneloops;2480;0.0;0.0256
134;2025-10-14 14:12:27;kerneloops;2483;0.0;0.0268
135;2025-10-14 14:12:27;gdm-session-worker;2511;0.0;0.1317
136;2025-10-14 14:12:27;systemd;2522;0.0;0.1522
137;2025-10-14 14:12:27;(sd-pam);2527;0.0;0.0285
138;2025-10-14 14:12:27;pipewire;2538;0.0;0.1587
139;2025-10-14 14:12:27;pipewire;2539;0.0;0.064
140;2025-10-14 14:12:27;wireplumber;2546;0.0;0.2563
141;2025-10-14 14:12:27;pipewire-pulse;2548;0.0;0.3399
142;2025-10-14 14:12:27;gnome-keyring-daemon;2554;0.0;0.1219
143;2025-10-14 14:12:27;dbus-daemon;2559;0.0;0.0859
144;2025-10-14 14:12:27;xdg-document-portal;2607;0.0;0.0994
145;2025-10-14 14:12:27;xdg-permission-store;2611;0.0;0.0778
146;2025-10-14 14:12:27;fusermount3;2618;0.0;0.0239
147;2025-10-14 14:12:27;gdm-wayland-session;2642;0.0;0.0801
148;2025-10-14 14:12:27;gnome-session-binary;2653;0.0;0.1753
149;2025-10-14 14:12:27;gcr-ssh-agent;2742;0.0;0.081
150;2025-10-14 14:12:27;gnome-session-ctl;2743;0.0;0.069
151;2025-10-14 14:12:27;gvfsd;2758;0.0;0.1019
152;2025-10-14 14:12:27;gvfsd-fuse;2765;0.0;0.0902
153;2025-10-14 14:12:27;gnome-session-binary;2767;0.0;0.1967
154;2025-10-14 14:12:27;at-spi-bus-launcher;2803;0.0;0.0982
155;2025-10-14 14:12:27;dbus-daemon;2816;0.0;0.0625
156;2025-10-14 14:12:27;gnome-shell;2817;0.0;2.5331
157;2025-10-14 14:12:27;at-spi2-registryd;2908;0.0;0.0896
158;2025-10-14 14:12:27;gnome-shell-calendar-server;2929;0.0;0.1875
159;2025-10-14 14:12:27;evolution-source-registry;2937;0.0;0.282
160;2025-10-14 14:12:27;dconf-service;2938;0.0;0.0768
161;2025-10-14 14:12:27;gjs;2950;0.0;0.2113
162;2025-10-14 14:12:27;ibus-daemon;2959;0.0;0.1137
163;2025-10-14 14:12:27;gsd-a11y-settings;2962;0.0;0.0914
164;2025-10-14 14:12:27;gsd-color;2968;0.0;0.1785
165;2025-10-14 14:12:27;gsd-datetime;2971;0.0;0.1479
166;2025-10-14 14:12:27;gsd-housekeeping;2975;0.0;0.1029
167;2025-10-14 14:12:27;gsd-keyboard;2976;0.0;0.194
168;2025-10-14 14:12:27;gsd-media-keys;2977;0.0;0.2516
169;2025-10-14 14:12:27;gsd-power;2978;0.0;0.2563
170;2025-10-14 14:12:27;gsd-print-notifications;2982;0.0;0.1386
171;2025-10-14 14:12:27;gsd-rfkill;2984;0.0;0.0898
172;2025-10-14 14:12:27;gsd-screensaver-proxy;2990;0.0;0.0806
173;2025-10-14 14:12:27;gsd-sharing;2991;0.0;0.1442
174;2025-10-14 14:12:27;gsd-smartcard;2992;0.0;0.0989
175;2025-10-14 14:12:27;gsd-sound;2993;0.0;0.1147
